,1540_T_純金上場信託ETF_日足,7974_T_任天堂_日足,AAPL_アップル_日足
2025-02-06,1.0584233693477392,1.1873919605933434,0.9313153675731882
2025-02-07,1.0520208083233293,1.1663427609135735,0.9089928482915255
2025-02-08,1.0520208083233293,1.1663427609135735,0.9089928482915255
2025-02-09,1.0520208083233293,1.1663427609135735,0.9089928482915255
2025-02-10,1.0600240096038416,1.1803755607000868,0.9100721889622497
2025-02-11,1.0600240096038416,1.1803755607000868,0.9299407061994504
2025-02-12,1.0736294517807123,1.185233084662101,0.9469308391285822
2025-02-13,1.0868347338935573,1.214378228434187,0.965560047769269
2025-02-14,1.0844337735094038,1.2138384563346574,0.9778329287409162
2025-02-15,1.0844337735094038,1.2138384563346574,0.9778329287409162
2025-02-16,1.0844337735094038,1.2138384563346574,0.9778329287409162
2025-02-17,1.0684273709483794,1.230030132052413,0.9778329287409162
2025-02-18,1.0756302521008403,1.2359670939800484,0.9773132620312492
2025-02-19,1.0796318527410964,1.269429989614619,0.9789122694116404
2025-02-20,1.076030412164866,1.2402849520759713,0.9827500947958079
2025-02-21,1.0756302521008403,1.2365068660795782,0.9816307468736928
2025-02-22,1.0756302521008403,1.2365068660795782,0.9816307468736928
2025-02-23,1.0756302521008403,1.2365068660795782,0.9816307468736928
2025-02-24,1.0756302521008403,1.2365068660795782,0.9878271676967157
2025-02-25,1.0724289715886355,1.220854856227914,0.9875872463479183
2025-02-26,1.0628251300520208,1.198726218582523,0.960882741983402
2025-02-27,1.0560224089635855,1.2305699041519427,0.9486498682631453
2025-02-28,1.040016006402561,1.2046631805101584,0.9667992952860097
2025-03-01,1.040016006402561,1.2046631805101584,0.9667992952860097
2025-03-02,1.040016006402561,1.2046631805101584,0.9667992952860097
2025-03-03,1.0468187274909964,1.1944083604866,0.9515681376630586
2025-03-04,1.0456182472989195,1.201424866613295,0.9431730282471962
2025-03-05,1.0592236894757903,1.206282284341871,0.9424135012685048
2025-03-06,1.0536214485794317,1.2289506940867918,0.9407744255569498
2025-03-07,1.0424169667867147,1.1156087515956263,0.9557257767392587
2025-03-08,1.0424169667867147,1.1156087515956263,0.9557257767392587
2025-03-09,1.0424169667867147,1.1156087515956263,0.9557257767392587
2025-03-10,1.045218087234894,1.0799869800298134,0.9093926154065665
2025-03-11,1.0376150460184073,1.0853842760913575,0.8828480178880667
2025-03-12,1.0484193677470988,1.0967184278470987,0.8674169461677083
2025-03-13,1.0532212885154062,1.098877303778341,0.8382338856899376
2025-03-14,1.0764305722288916,1.10805257960284,0.8534651043926619
2025-03-15,1.0764305722288916,1.10805257960284,0.8534651043926619
2025-03-16,1.0764305722288916,1.10805257960284,0.8534651043926619
2025-03-17,1.0796318527410964,1.1102115617675203,0.8555038861394846
2025-03-18,1.0928371348539416,1.1085923517023697,0.8502669063925602
2025-03-19,1.1064425770308124,1.1388168272066386,0.8604609983659939
2025-03-20,1.1064425770308124,1.1388168272066386,0.8559036532545258
2025-03-21,1.1032412965186074,1.1760578088376021,0.8725739724916248
2025-03-22,1.1032412965186074,1.1760578088376021,0.8725739724916248
2025-03-23,1.1032412965186074,1.1760578088376021,0.8725739724916248
2025-03-24,1.099639855942377,1.153929171192211,0.8824082435216349
2025-03-25,1.1024409763905563,1.1620250090510889,0.8944812714756482
2025-03-26,1.1040416166466587,1.2230137321591563,0.8856063804419635
2025-03-27,1.1044417767106842,1.1906303807236451,0.8948810385906892
2025-03-28,1.1328531412565026,1.1786642462440104,0.8710948036260863
2025-03-29,1.1328531412565026,1.1786642462440104,0.8710948036260863
