Date,7974_T_任天堂_四半期足,9697_T_カプコン_四半期足,9766_T_コナミ_四半期足
2021-07-01,3.745576252440271,4.491821700610241,1.5092859860135484
2021-10-01,4.190269577172302,4.038235552639387,1.477943089670203
2022-01-01,4.566177965333963,5.089009321434014,1.9599739134182328
2022-04-01,4.550933749062966,5.466795682794996,1.9112184348820969
2022-07-01,4.6757310858447845,6.178629614074229,1.606156701565108
2022-10-01,4.332946872022769,6.260614453367249,1.5668020302425005
2023-01-01,4.514104643210198,7.6652889828210276,1.6619451493725075
2023-04-01,5.089315569253927,9.600362984365699,1.9796772064952162
2023-07-01,4.972529390273161,7.294913739674167,1.9413896457731825
2023-10-01,6.64229551248931,8.509979539961172,2.284900645818018
2024-01-01,6.268340336824626,7.961726214806608,2.407740824270904
2024-04-01,6.810730523375335,9.724755222632474,2.8754787994359914
2024-07-01,6.642499395220901,9.348752297467264,3.5664957575771123
