,1540_T_純金上場信託ETF_日足,1942_T_Kandenko Co,5838_T_楽天銀行_日足,5844_T_京都銀行_日足,7974_T_任天堂_日足,9697_T_カプコン_日足
2024-12-25,0.9768263943440691,1.079606649496605,1.422866344605475,1.012880291342903,1.155343530760147,1.1201052988576643
2024-12-26,0.9807541241162608,1.088035588855069,1.433816425120773,1.0177659758755535,1.1628782794265273,1.1253701610298341
2024-12-27,0.9874312647289867,1.098571763053149,1.4415458937198067,1.0304241856588665,1.1741806495156457,1.1474168672201615
2024-12-30,0.9815396700706991,1.084991805197846,1.423510466988728,1.0304241856588665,1.1633806124769226,1.1431391818385943
2024-12-31,0.9815396700706991,1.084991805197846,1.423510466988728,1.0304241856588665,1.1633806124769226,1.1431391818385943
2025-01-01,0.9815396700706991,1.084991805197846,1.423510466988728,1.0304241856588665,1.1633806124769226,1.1431391818385943
2025-01-02,0.9815396700706991,1.084991805197846,1.423510466988728,1.0304241856588665,1.1633806124769226,1.1431391818385943
2025-01-03,0.9815396700706991,1.084991805197846,1.423510466988728,1.0304241856588665,1.1633806124769226,1.1431391818385943
2025-01-06,0.9866457187745483,1.0943572933739172,1.394524959742351,1.0219853059511053,1.1390179537118503,1.1092464348720787
2025-01-07,0.9917517674783974,1.0999765862795599,1.43317230273752,1.0179880574351434,1.1500690337309971,1.1181309452764587
2025-01-08,0.9964650432050275,1.1098103488644346,1.4914653784219,1.0284255614008857,1.1180459812645587,1.111549847383485
2025-01-09,1.0007855459544384,1.1332240693046125,1.4483091787439613,1.0113258302041022,1.1451714718068047,1.1082592580814759
2025-01-10,1.00942655145326,1.1304144228517912,1.4418679549114333,0.9895624960342578,1.1613714038201155,1.098058511956292
2025-01-13,1.00942655145326,1.1304144228517912,1.4418679549114333,0.9895624960342578,1.1613714038201155,1.098058511956292
2025-01-14,1.0,1.0945914305783189,1.472463768115942,0.9791249920685158,1.1719201507888675,1.0832510215193403
2025-01-15,1.0039277297721916,1.096698665417935,1.5001610305958133,0.9931156912093686,1.2011804950229061,1.1046396098492657
2025-01-16,0.9984289080911233,1.0931866073519083,1.4953301127214171,1.0091050146082023,1.2043200148154893,1.1010200423281005
2025-01-17,1.0031421838177534,1.0803090611098103,1.4579710144927536,1.0084388797077612,1.1529573869983827,1.079302395067974
2025-01-20,1.0051060487038492,1.0945914305783189,1.480193236714976,1.0193204370143545,1.117794814739361,1.0802895718585768
2025-01-21,1.006677140612726,1.0889721376726762,1.4483091787439613,1.0102154224061521,1.1357529124290553,1.088186905472354
2025-01-22,1.0172820109976433,1.0983376258487474,1.4183574879227052,1.0137686175812628,1.1809618986064334,1.0825929036589383
2025-01-23,1.0239591516103692,1.0952938421915241,1.4334943639291466,1.0135465360216729,1.2004269954473132,1.088515964402555
2025-01-24,1.0235663786331501,1.1046593303675953,1.431561996779388,1.011991965104543,1.241994252326487,1.1210923949372222
2025-01-27,1.0204241948153967,1.1041910559587917,1.454428341384863,1.0079947165885814,1.229812861171564,1.1056267866398684
2025-01-28,1.0133542812254517,1.0365254038866776,1.5130434782608695,1.012658209783313,1.2872033620486392,1.1454425136389559
2025-01-29,1.0180675569520816,1.0807773355186139,1.4985507246376812,1.0197646001335343,1.2796684898374848,1.1296478464114013
2025-01-30,1.0157109190887668,1.0983376258487474,1.5349436392914655,1.0302021040992766,1.3091800005967213,1.1813096141866772
2025-01-31,1.025923016496465,1.166705689534067,1.5426731078904992,1.0410837711841987,1.284691696796663,1.1704507502010915
2025-02-03,1.02827965435978,1.2104893467571998,1.4933977455716587,0.9611370444117012,1.2777848026708898,1.1743994573635026
2025-02-04,1.040062843676355,1.2062748770779677,1.4911433172302737,0.9544748171806597,1.3060404808041381,1.1944718099726244
2025-02-05,1.0416339355852318,1.2404589089206275,1.5294685990338164,0.963801913348452,1.343714718315136,1.2306679694505467
2025-02-06,1.0388845247446976,1.236712713650199,1.6016103059581321,0.9660226191660228,1.3813889558261336,1.2820005975845767
2025-02-07,1.032600157109191,1.2252399906345117,1.5710144927536231,0.9569176045578206,1.3569006520260756,1.2451464009572977
2025-02-10,1.0404556166535743,1.2257082650433153,1.5896940418679548,0.9509216220055491,1.3732262290743722,1.2566633020922402
2025-02-11,1.0404556166535743,1.2257082650433153,1.5896940418679548,0.9509216220055491,1.3732262290743722,1.2566633020922402
2025-02-12,1.053809897879026,1.2289861859049402,1.603864734299517,0.9589163385941304,1.3788772905741578,1.262257303905656
2025-02-13,1.0667714061272584,1.243970966986654,1.8293075684380031,0.9495891326480091,1.4127841537519652,1.2553471470824813
2025-02-14,1.0644147682639435,1.2540388667759308,1.9017713365539453,0.9618032890904712,1.4121561756665844,1.2586376556734458
2025-02-17,1.0487038491751768,1.2353078904237884,1.8933977455716586,0.9571396861174105,1.4309932944220831,1.2576504788828429
2025-02-18,1.0557737627651218,1.248419573870288,1.9111111111111112,0.9553631434190197,1.4379003120926304,1.280684361863773
2025-02-19,1.0597014925373134,1.2341372044017795,1.9066022544283414,0.9677992716427427,1.4768303822296163,1.2875945993979925
2025-02-20,1.0561665357423409,1.2243034418169048,1.8872785829307568,0.9475905083900283,1.4429235190518086,1.2773938532728086
2025-02-21,1.0557737627651218,1.2343713416061812,1.8766505636070854,0.9582500939153604,1.4385281666332375,1.3428759346944337
2025-02-24,1.0557737627651218,1.2343713416061812,1.8766505636070854,0.9582500939153604,1.4385281666332375,1.3428759346944337
2025-02-25,1.0526315789473684,1.1830952938421915,1.8760064412238324,0.9458139656916376,1.4203190259631195,1.3056925984259087
2025-02-26,1.0432050274941085,1.1664715523296652,1.84573268921095,0.963135668669682,1.3945748895370733,1.225073967637131
2025-02-27,1.0365278868813825,1.1823928822289862,1.8515297906602255,0.9715745483774434,1.4316212725074642,1.2280354980089392
2025-02-28,1.0208169677926158,1.1791149613673613,1.810305958132045,0.9602487181733413,1.4014819072076206,1.2178347518837553
2025-03-03,1.0274941084053417,1.217513462889253,1.8177133655394524,0.9731290095162443,1.389551682577895,1.2510693809898694
2025-03-04,1.0263157894736843,1.1957387028798876,1.7703703703703704,0.975127743552554,1.3977144093296565,1.238894361994525
2025-03-05,1.039670070699136,1.2411613205338328,1.7797101449275363,0.9742394173141942,1.4033655943742158,1.201052907865598
2025-03-06,1.0341712490180675,1.2364785764457973,1.8743961352657006,0.9906729038322077,1.429737585340869,1.215202361153193
2025-03-07,1.0231736056559309,1.2456099274174666,1.8396135265700484,0.9948923436860885,1.2978776305076027,1.1582757312057472
2025-03-10,1.025923016496465,1.233668929992976,1.8128824476650565,0.9802353998664657,1.2564360186634147,1.1306350232020042
2025-03-11,1.018460329929301,1.195270428471084,1.8135265700483092,0.9795691551876957,1.262715058248581,1.1224086306580259
2025-03-12,1.0290652003142184,1.2437368297822524,1.9159420289855071,1.0057739009926816,1.2759009919595208,1.1303059642718032
2025-03-13,1.0337784760408484,1.2306251463357527,2.0231884057971015,1.0182101389947336,1.2784126572114969,1.1326093767832097
2025-03-14,1.0565593087195602,1.2523999063451183,2.118840579710145,1.0466355906172902,1.2890870492152344,1.1441263586291972
2025-03-17,1.0597014925373134,1.2760477639896979,2.18743961352657,1.0506329489115809,1.2915985909224366,1.1484040440107643
2025-03-18,1.072663000785546,1.28026223366893,2.1330112721417067,1.0561847683446723,1.2897149037558415,1.1533398472527332
