,Open,High,Low,Close,Volume,Dividends,Stock Splits,Is_Market_Holiday
2013-06-01,786.2427194,804.907235,782.3542787,787.7980957,217000.0,0.0,0.0,False
2013-06-02,786.2427194,804.907235,782.3542787,787.7980957,217000.0,0.0,0.0,False
2013-06-03,781.5765946,788.575788,768.355896,768.355896,337000.0,0.0,0.0,False
2013-06-04,760.5790274,777.688167,747.3583285,775.3551025,284000.0,0.0,0.0,False
2013-06-05,777.6880443,780.7987965,745.0251465,745.0251465,221000.0,0.0,0.0,False
2013-06-06,738.8037279,753.5798025,721.694589,726.3607178,299000.0,0.0,0.0,False
2013-06-07,706.918417,741.9143782,706.1407289,727.1383057,317000.0,0.0,0.0,False
2013-06-08,706.918417,741.9143782,706.1407289,727.1383057,317000.0,0.0,0.0,False
2013-06-09,706.918417,741.9143782,706.1407289,727.1383057,317000.0,0.0,0.0,False
2013-06-10,736.4708251,760.5791626,727.9162538,760.5791626,206000.0,0.0,0.0,False
2013-06-11,755.9129607,765.2452194,742.6922607,742.6922607,297000.0,0.0,0.0,False
2013-06-12,738.8037677,738.8037677,721.6946278,736.4707031,228000.0,0.0,0.0,False
2013-06-13,718.5837806,737.2482944,707.6961476,728.6937256,263000.0,0.0,0.0,False
2013-06-14,740.3591744,765.245197,740.3591744,741.9145508,2517000.0,0.0,0.0,False
2013-06-15,740.3591744,765.245197,740.3591744,741.9145508,2517000.0,0.0,0.0,False
2013-06-16,740.3591744,765.245197,740.3591744,741.9145508,2517000.0,0.0,0.0,False
2013-06-17,753.5797228,803.3517581,753.5797228,799.4633179,262000.0,0.0,0.0,False
2013-06-18,804.9071621,815.7947952,800.2410336,813.461731,210000.0,0.0,0.0,False
2013-06-19,830.5709704,862.4561856,830.5709704,856.2346802,379000.0,0.0,0.0,False
2013-06-20,841.4585398,856.234614,841.4585398,843.013916,322000.0,0.0,0.0,False
2013-06-21,824.3492368,862.4559468,821.238485,850.0129395,266000.0,0.0,0.0,False
2013-06-22,824.3492368,862.4559468,821.238485,850.0129395,266000.0,0.0,0.0,False
2013-06-23,824.3492368,862.4559468,821.238485,850.0129395,266000.0,0.0,0.0,False
2013-06-24,851.568455,857.7899597,836.0146932,848.4577026,145000.0,0.0,0.0,False
2013-06-25,842.2362846,842.2362846,824.3494568,829.7932739,199000.0,0.0,0.0,False
2013-06-26,841.4585234,869.455295,839.1254591,855.4569092,219000.0,0.0,0.0,False
2013-06-27,853.9015895,867.1222881,849.2354606,853.1239014,202000.0,0.0,0.0,False
2013-06-28,872.5662611,910.6729873,872.5662611,906.7845459,478000.0,0.0,0.0,False
2013-06-29,872.5662611,910.6729873,872.5662611,906.7845459,478000.0,0.0,0.0,False
2013-06-30,872.5662611,910.6729873,872.5662611,906.7845459,478000.0,0.0,0.0,False
2013-07-01,922.3382097,922.3382097,890.4529933,907.5621338,170000.0,0.0,0.0,False
2013-07-02,913.0060522,915.3391171,895.8969098,906.7845459,222000.0,0.0,0.0,False
2013-07-03,902.118273,913.7835955,902.118273,906.0067139,181000.0,0.0,0.0,False
2013-07-04,904.4511861,923.115699,904.4511861,911.4503784,116000.0,0.0,0.0,False
2013-07-05,920.0051093,937.1142492,920.0051093,932.4481201,199000.0,0.0,0.0,False
2013-07-06,920.0051093,937.1142492,920.0051093,932.4481201,199000.0,0.0,0.0,False
2013-07-07,920.0051093,937.1142492,920.0051093,932.4481201,199000.0,0.0,0.0,False
2013-07-08,941.0026187,952.6679404,906.7843416,916.8942871,194000.0,0.0,0.0,False
2013-07-09,934.0035006,947.2241996,934.0035006,945.6688232,224000.0,0.0,0.0,False
2013-07-10,951.890298,955.7787388,932.4480942,951.1126099,330000.0,0.0,0.0,False
2013-07-11,948.779541,952.6679818,937.8919069,948.779541,136000.0,0.0,0.0,False
2013-07-12,946.4466433,964.3334739,937.8920722,939.4474487,385000.0,0.0,0.0,False
2013-07-13,946.4466433,964.3334739,937.8920722,939.4474487,385000.0,0.0,0.0,False
2013-07-14,946.4466433,964.3334739,937.8920722,939.4474487,385000.0,0.0,0.0,False
2013-07-15,946.4466433,964.3334739,937.8920722,939.4474487,385000.0,0.0,0.0,False
2013-07-16,948.7794581,989.2192383,934.7810727,989.2192383,20061000.0,0.0,0.0,False
2013-07-17,982.2200112,1066.210321,977.5538829,1052.989624,22948000.0,0.0,0.0,False
2013-07-18,1031.991948,1031.991948,997.773677,1014.882813,121092000.0,0.0,0.0,False
2013-07-19,1030.436845,1069.321255,1003.217759,1050.656738,19367000.0,0.0,0.0,False
2013-07-20,1030.436845,1069.321255,1003.217759,1050.656738,19367000.0,0.0,0.0,False
2013-07-21,1030.436845,1069.321255,1003.217759,1050.656738,19367000.0,0.0,0.0,False
2013-07-22,1060.766641,1111.316371,1045.212878,1092.651855,22179000.0,0.0,0.0,False
2013-07-23,1088.763476,1095.76267,1065.43283,1081.764282,15978000.0,0.0,0.0,False
2013-07-24,1073.209587,1122.203938,1069.321147,1090.318726,16128000.0,0.0,0.0,False
2013-07-25,1090.318745,1094.984874,1044.435146,1047.545898,10365000.0,0.0,0.0,False
2013-07-26,1031.214346,1063.099556,1020.326713,1026.548218,10263000.0,0.0,0.0,False
2013-07-27,1031.214346,1063.099556,1020.326713,1026.548218,10263000.0,0.0,0.0,False
2013-07-28,1031.214346,1063.099556,1020.326713,1026.548218,10263000.0,0.0,0.0,False
2013-07-29,1007.883775,1038.213611,996.996142,1000.884583,9515000.0,0.0,0.0,False
2013-07-30,993.107592,1029.658929,986.1083999,1016.438232,6659000.0,0.0,0.0,False
2013-07-31,1008.661583,1013.327713,965.8887329,965.8887329,9629000.0,0.0,0.0,False
2013-08-01,960.444654,1014.882813,944.1132064,1014.882813,12717000.0,0.0,0.0,False
2013-08-02,1019.549211,1031.214534,1005.550824,1028.88147,7642000.0,0.0,0.0,False
2013-08-03,1019.549211,1031.214534,1005.550824,1028.88147,7642000.0,0.0,0.0,False
2013-08-04,1019.549211,1031.214534,1005.550824,1028.88147,7642000.0,0.0,0.0,False
2013-08-05,1011.772561,1025.770952,1001.662613,1010.994873,4360000.0,0.0,0.0,False
2013-08-06,1007.88393,1062.322105,1007.106242,1052.212158,10101000.0,0.0,0.0,False
2013-08-07,1030.436731,1036.658236,1011.772217,1011.772217,6618000.0,0.0,0.0,False
2013-08-08,1003.217659,1024.215238,979.8870156,986.1085205,6838000.0,0.0,0.0,False
2013-08-09,991.5523281,1001.662273,978.3316304,981.4423828,4617000.0,0.0,0.0,False
2013-08-10,991.5523281,1001.662273,978.3316304,981.4423828,4617000.0,0.0,0.0,False
2013-08-11,991.5523281,1001.662273,978.3316304,981.4423828,4617000.0,0.0,0.0,False
2013-08-12,979.1094771,979.8871653,951.8903892,956.5565186,6065000.0,0.0,0.0,False
2013-08-13,979.1094012,982.997842,965.8887024,971.3325195,4122000.0,0.0,0.0,False
2013-08-14,984.5532183,1001.662358,963.5556378,982.2201538,4971000.0,0.0,0.0,False
2013-08-15,965.8887372,972.8879309,958.1118552,968.2218018,3618000.0,0.0,0.0,False
2013-08-16,958.1117988,960.4448632,941.7803477,948.779541,4560000.0,0.0,0.0,False
2013-08-17,958.1117988,960.4448632,941.7803477,948.779541,4560000.0,0.0,0.0,False
2013-08-18,958.1117988,960.4448632,941.7803477,948.779541,4560000.0,0.0,0.0,False
2013-08-19,944.1134807,965.8887504,941.7804161,964.333374,3613000.0,0.0,0.0,False
2013-08-20,953.4454786,962.7777345,935.5586548,935.5586548,5553000.0,0.0,0.0,False
2013-08-21,934.7810897,958.1117326,934.0034016,946.4464111,6171000.0,0.0,0.0,False
2013-08-22,939.4471873,948.7794442,936.3364351,941.0025635,3113000.0,0.0,0.0,False
2013-08-23,956.5562231,966.6661669,941.0024634,941.7801514,5768000.0,0.0,0.0,False
2013-08-24,956.5562231,966.6661669,941.0024634,941.7801514,5768000.0,0.0,0.0,False
2013-08-25,956.5562231,966.6661669,941.0024634,941.7801514,5768000.0,0.0,0.0,False
2013-08-26,949.5572728,957.3341546,945.6688318,950.3349609,1975000.0,0.0,0.0,False
2013-08-27,959.6673191,975.2210844,946.4466186,960.4450073,4300000.0,0.0,0.0,False
2013-08-28,942.5580664,945.6688191,927.7819911,932.4481201,5133000.0,0.0,0.0,False
2013-08-29,937.8918531,939.4472293,895.1190074,920.7827148,8878000.0,0.0,0.0,False
2013-08-30,912.228224,913.0059122,860.9008048,864.7892456,14455000.0,0.0,0.0,False
2013-08-31,912.228224,913.0059122,860.9008048,864.7892456,14455000.0,0.0,0.0,False
2013-09-01,912.228224,913.0059122,860.9008048,864.7892456,14455000.0,0.0,0.0,False
2013-09-02,878.7875366,895.1189864,871.7883439,878.7875366,8299000.0,0.0,0.0,False
2013-09-03,897.4519955,927.781829,897.4519955,922.3380127,8537000.0,0.0,0.0,False
2013-09-04,918.4496821,955.0010242,914.5612414,948.0018311,9240000.0,0.0,0.0,False
2013-09-05,945.6688625,946.4465507,937.8919804,944.8911743,4993000.0,0.0,0.0,False
2013-09-06,944.1133803,946.4464447,917.6719842,921.5604248,6644000.0,0.0,0.0,False
2013-09-07,944.1133803,946.4464447,917.6719842,921.5604248,6644000.0,0.0,0.0,False
2013-09-08,944.1133803,946.4464447,917.6719842,921.5604248,6644000.0,0.0,0.0,False
2013-09-09,867.1222924,871.0107332,830.5709492,844.5693359,21093000.0,0.0,0.0,False
2013-09-10,855.4569968,863.2338786,827.4602223,836.7924805,12787000.0,0.0,0.0,False
2013-09-11,845.3469639,857.7899735,833.6816424,855.4569092,10202000.0,0.0,0.0,False
2013-09-12,855.4568954,861.6784001,836.7923813,848.4577026,5967000.0,0.0,0.0,False
2013-09-13,843.7916215,853.9015672,836.0147402,841.4585571,5736000.0,0.0,0.0,False
2013-09-14,843.7916215,853.9015672,836.0147402,841.4585571,5736000.0,0.0,0.0,False
2013-09-15,843.7916215,853.9015672,836.0147402,841.4585571,5736000.0,0.0,0.0,False
2013-09-16,843.7916215,853.9015672,836.0147402,841.4585571,5736000.0,0.0,0.0,False
2013-09-17,853.1238219,857.0122623,840.6808126,843.7915649,4182000.0,0.0,0.0,False
2013-09-18,852.3460033,860.1228829,848.4575635,850.0129395,6302000.0,0.0,0.0,False
2013-09-19,860.1231731,862.4562378,850.7909145,862.4562378,4836000.0,0.0,0.0,False
2013-09-20,892.7860021,912.228206,882.6760561,899.0075073,14936000.0,0.0,0.0,False
2013-09-21,892.7860021,912.228206,882.6760561,899.0075073,14936000.0,0.0,0.0,False
2013-09-22,892.7860021,912.228206,882.6760561,899.0075073,14936000.0,0.0,0.0,False
2013-09-23,892.7860021,912.228206,882.6760561,899.0075073,14936000.0,0.0,0.0,False
2013-09-24,899.0075599,912.2282593,888.8976133,894.3414307,8451000.0,0.0,0.0,False
2013-09-25,895.8967896,901.3406068,888.8975959,895.8967896,4364000.0,0.0,0.0,False
2013-09-26,904.4513332,908.339774,885.0091291,892.7860107,5738000.0,0.0,0.0,False
2013-09-27,894.3413168,896.6743811,887.3421239,888.119812,5341000.0,0.0,0.0,False
2013-09-28,894.3413168,896.6743811,887.3421239,888.119812,5341000.0,0.0,0.0,False
2013-09-29,894.3413168,896.6743811,887.3421239,888.119812,5341000.0,0.0,0.0,False
2013-09-30,880.3430933,880.3430933,864.7893284,865.5670166,4944000.0,0.0,0.0,False
2013-10-01,866.3446697,874.8992401,865.5669815,868.6777344,4785000.0,0.0,0.0,False
2013-10-02,874.1215084,874.1215084,841.458605,845.3470459,6973000.0,0.0,0.0,False
2013-10-03,836.7924587,855.4569745,834.4593942,846.9024048,5488000.0,0.0,0.0,False
2013-10-04,836.0148047,858.5677622,832.904052,854.6793213,4721000.0,0.0,0.0,False
2013-10-05,836.0148047,858.5677622,832.904052,854.6793213,4721000.0,0.0,0.0,False
2013-10-06,836.0148047,858.5677622,832.904052,854.6793213,4721000.0,0.0,0.0,False
2013-10-07,849.2353943,851.5684586,829.793192,839.9031372,4759000.0,0.0,0.0,False
2013-10-08,839.1255405,850.0131749,831.3486588,845.3470459,4631000.0,0.0,0.0,False
2013-10-09,843.7915877,859.3453497,834.4593305,855.4569092,4634000.0,0.0,0.0,False
2013-10-10,863.2337874,885.7867422,860.9007231,874.8991089,9560000.0,0.0,0.0,False
2013-10-11,883.4536834,898.2297573,882.6759953,888.119812,6687000.0,0.0,0.0,False
2013-10-12,883.4536834,898.2297573,882.6759953,888.119812,6687000.0,0.0,0.0,False
2013-10-13,883.4536834,898.2297573,882.6759953,888.119812,6687000.0,0.0,0.0,False
2013-10-14,883.4536834,898.2297573,882.6759953,888.119812,6687000.0,0.0,0.0,False
2013-10-15,888.8976628,889.675351,869.4554567,876.4546509,4681000.0,0.0,0.0,False
2013-10-16,874.8991657,883.4537354,873.3437894,883.4537354,3989000.0,0.0,0.0,False
2013-10-17,895.1191099,916.1166911,894.3414217,900.5629272,10295000.0,0.0,0.0,False
2013-10-18,906.7844996,912.2283174,888.1199816,892.0084229,4893000.0,0.0,0.0,False
2013-10-19,906.7844996,912.2283174,888.1199816,892.0084229,4893000.0,0.0,0.0,False
2013-10-20,906.7844996,912.2283174,888.1199816,892.0084229,4893000.0,0.0,0.0,False
2013-10-21,895.8969098,906.7845459,895.1192216,906.7845459,3697000.0,0.0,0.0,False
2013-10-22,906.006907,906.006907,898.2300237,899.7854004,2662000.0,0.0,0.0,False
2013-10-23,908.3397962,923.8935598,893.5637207,893.5637207,6413000.0,0.0,0.0,False
2013-10-24,888.8977637,901.3407771,883.4539454,899.7854004,3844000.0,0.0,0.0,False
2013-10-25,896.6744426,899.7851953,874.8991743,877.2322388,5101000.0,0.0,0.0,False
2013-10-26,896.6744426,899.7851953,874.8991743,877.2322388,5101000.0,0.0,0.0,False
2013-10-27,896.6744426,899.7851953,874.8991743,877.2322388,5101000.0,0.0,0.0,False
2013-10-28,887.3423794,901.3407693,883.4539378,895.1192627,3721000.0,0.0,0.0,False
2013-10-29,888.1198075,892.785936,881.8983027,885.7867432,3171000.0,0.0,0.0,False
2013-10-30,894.3413692,897.4521218,866.3445959,872.5661011,11262000.0,0.0,0.0,False
2013-10-31,867.1223367,881.8984124,854.6793256,857.0123901,10282000.0,0.0,0.0,False
2013-11-01,854.6793514,862.4562336,842.2363399,860.1231689,6538000.0,0.0,0.0,False
2013-11-02,854.6793514,862.4562336,842.2363399,860.1231689,6538000.0,0.0,0.0,False
2013-11-03,854.6793514,862.4562336,842.2363399,860.1231689,6538000.0,0.0,0.0,False
2013-11-04,854.6793514,862.4562336,842.2363399,860.1231689,6538000.0,0.0,0.0,False
2013-11-05,867.1224431,907.5622342,864.7893782,906.7845459,10914000.0,0.0,0.0,False
2013-11-06,906.7842203,938.6694288,903.6734683,936.3363647,11619000.0,0.0,0.0,False
2013-11-07,929.3372145,933.2256548,917.6718938,927.0041504,6944000.0,0.0,0.0,False
2013-11-08,917.672087,948.7796154,917.672087,944.8911743,7737000.0,0.0,0.0,False
2013-11-09,917.672087,948.7796154,917.672087,944.8911743,7737000.0,0.0,0.0,False
2013-11-10,917.672087,948.7796154,917.672087,944.8911743,7737000.0,0.0,0.0,False
2013-11-11,942.5579396,951.1125084,934.0033709,941.0025635,5562000.0,0.0,0.0,False
2013-11-12,941.0027154,957.3341675,938.6696508,957.3341675,5145000.0,0.0,0.0,False
2013-11-13,957.3342141,982.2202375,952.6680847,972.1102905,7189000.0,0.0,0.0,False
2013-11-14,968.221697,982.220083,963.5555684,966.6663208,5784000.0,0.0,0.0,False
2013-11-15,978.3315198,1024.992801,976.7761438,1016.438232,15475000.0,0.0,0.0,False
2013-11-16,978.3315198,1024.992801,976.7761438,1016.438232,15475000.0,0.0,0.0,False
2013-11-17,978.3315198,1024.992801,976.7761438,1016.438232,15475000.0,0.0,0.0,False
2013-11-18,1010.994594,1022.659916,1006.328465,1014.105347,6093000.0,0.0,0.0,False
2013-11-19,1010.217006,1017.993888,1005.550877,1013.327759,5900000.0,0.0,0.0,False
2013-11-20,1013.327702,1019.549208,1010.216949,1015.660767,4904000.0,0.0,0.0,False
2013-11-21,1015.661003,1021.104822,999.3295476,1010.994873,8249000.0,0.0,0.0,False
2013-11-22,1034.325111,1053.767312,1028.103606,1052.989624,10815000.0,0.0,0.0,False
2013-11-23,1034.325111,1053.767312,1028.103606,1052.989624,10815000.0,0.0,0.0,False
2013-11-24,1034.325111,1053.767312,1028.103606,1052.989624,10815000.0,0.0,0.0,False
2013-11-25,1059.988953,1073.209651,1056.8782,1070.876587,6938000.0,0.0,0.0,False
2013-11-26,1068.543682,1094.207395,1045.990723,1045.990723,12120000.0,0.0,0.0,False
2013-11-27,1042.879652,1049.878845,1017.993635,1019.549011,7365000.0,0.0,0.0,False
2013-11-28,1029.659056,1040.54669,997.7738436,1007.883789,9247000.0,0.0,0.0,False
2013-11-29,1008.661543,1025.770682,1008.661543,1021.104553,6832000.0,0.0,0.0,False
2013-11-30,1008.661543,1025.770682,1008.661543,1021.104553,6832000.0,0.0,0.0,False
2013-12-01,1008.661543,1025.770682,1008.661543,1021.104553,6832000.0,0.0,0.0,False
2013-12-02,1022.659707,1031.991963,1017.215891,1021.882019,4019000.0,0.0,0.0,False
2013-12-03,1028.881556,1031.992309,994.6632731,996.9963379,7670000.0,0.0,0.0,False
2013-12-04,985.3308537,987.6639181,973.6655318,975.9985962,8584000.0,0.0,0.0,False
2013-12-05,977.5539943,992.330069,974.4432417,976.7763062,4902000.0,0.0,0.0,False
2013-12-06,972.8878958,984.5532183,969.7771432,982.2201538,4768000.0,0.0,0.0,False
2013-12-07,972.8878958,984.5532183,969.7771432,982.2201538,4768000.0,0.0,0.0,False
2013-12-08,972.8878958,984.5532183,969.7771432,982.2201538,4768000.0,0.0,0.0,False
2013-12-09,993.1078491,994.6632255,982.9979023,993.1078491,3494000.0,0.0,0.0,False
2013-12-10,990.7745598,1005.550633,986.1084316,1002.43988,4050000.0,0.0,0.0,False
2013-12-11,1003.217624,1004.773,983.7754217,989.2192383,4906000.0,0.0,0.0,False
2013-12-12,972.1102377,992.3301306,969.7771731,987.6640015,7863000.0,0.0,0.0,False
2013-12-13,982.9978551,986.886296,972.1102207,978.3317261,7669000.0,0.0,0.0,False
2013-12-14,982.9978551,986.886296,972.1102207,978.3317261,7669000.0,0.0,0.0,False
2013-12-15,982.9978551,986.886296,972.1102207,978.3317261,7669000.0,0.0,0.0,False
2013-12-16,979.1092435,989.219188,973.6654272,974.4431152,4155000.0,0.0,0.0,False
2013-12-17,979.8868068,988.4413742,979.1091189,982.9975586,4154000.0,0.0,0.0,False
2013-12-18,984.5532944,1014.105447,984.5532944,1013.327759,7644000.0,0.0,0.0,False
2013-12-19,1035.10286,1080.986458,1032.769795,1063.877319,17908000.0,0.0,0.0,False
2013-12-20,1057.65603,1075.54286,1054.545277,1071.654419,11418000.0,0.0,0.0,False
2013-12-21,1057.65603,1075.54286,1054.545277,1071.654419,11418000.0,0.0,0.0,False
2013-12-22,1057.65603,1075.54286,1054.545277,1071.654419,11418000.0,0.0,0.0,False
2013-12-23,1057.65603,1075.54286,1054.545277,1071.654419,11418000.0,0.0,0.0,False
2013-12-24,1077.09801,1084.874891,1074.764945,1080.98645,8189000.0,0.0,0.0,False
2013-12-25,1062.322224,1079.431367,1062.322224,1073.987549,7850000.0,0.0,0.0,False
2013-12-26,1077.098318,1087.208266,1074.765253,1083.319824,4938000.0,0.0,0.0,False
2013-12-27,1084.874909,1098.095607,1083.319533,1090.318726,5910000.0,0.0,0.0,False
2013-12-28,1084.874909,1098.095607,1083.319533,1090.318726,5910000.0,0.0,0.0,False
2013-12-29,1084.874909,1098.095607,1083.319533,1090.318726,5910000.0,0.0,0.0,False
2013-12-30,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2013-12-31,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-01,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-02,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-03,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-04,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-05,1088.763328,1105.872466,1087.207951,1089.541016,7107000.0,0.0,0.0,False
2014-01-06,1088.763513,1114.427224,1082.542007,1113.649536,10130000.0,0.0,0.0,False
2014-01-07,1104.317014,1118.315398,1093.429381,1112.871582,8879000.0,0.0,0.0,False
2014-01-08,1118.315471,1248.189382,1118.315471,1232.63562,30305000.0,0.0,0.0,False
2014-01-09,1206.971949,1207.749638,1177.419801,1199.195068,18174000.0,0.0,0.0,False
2014-01-10,1190.640594,1255.9664,1184.419088,1250.522583,21241000.0,0.0,0.0,False
2014-01-11,1190.640594,1255.9664,1184.419088,1250.522583,21241000.0,0.0,0.0,False
2014-01-12,1190.640594,1255.9664,1184.419088,1250.522583,21241000.0,0.0,0.0,False
2014-01-13,1190.640594,1255.9664,1184.419088,1250.522583,21241000.0,0.0,0.0,False
2014-01-14,1198.417554,1225.247798,1195.306801,1205.416748,14622000.0,0.0,0.0,False
2014-01-15,1224.859017,1234.968965,1187.141136,1194.529175,11868000.0,0.0,0.0,False
2014-01-16,1179.363967,1198.417325,1161.865985,1171.198242,16066000.0,0.0,0.0,False
2014-01-17,1174.309128,1187.529827,1133.480499,1138.924316,16126000.0,0.0,0.0,False
2014-01-18,1174.309128,1187.529827,1133.480499,1138.924316,16126000.0,0.0,0.0,False
2014-01-19,1174.309128,1187.529827,1133.480499,1138.924316,16126000.0,0.0,0.0,False
2014-01-20,928.9483985,1073.209535,928.1707105,1068.932251,107315000.0,0.0,0.0,False
2014-01-21,1049.879149,1065.04407,1031.603475,1043.268799,32310000.0,0.0,0.0,False
2014-01-22,1049.879013,1094.984926,1044.046352,1090.707642,37108000.0,0.0,0.0,False
2014-01-23,1104.317356,1122.981875,1070.87676,1077.098267,29971000.0,0.0,0.0,False
2014-01-24,1093.429448,1095.762512,1048.323539,1054.545044,21895000.0,0.0,0.0,False
2014-01-25,1093.429448,1095.762512,1048.323539,1054.545044,21895000.0,0.0,0.0,False
2014-01-26,1093.429448,1095.762512,1048.323539,1054.545044,21895000.0,0.0,0.0,False
2014-01-27,1038.213671,1052.600901,1031.214478,1031.214478,14584000.0,0.0,0.0,False
2014-01-28,1010.994505,1019.160229,983.7754217,989.2192383,26017000.0,0.0,0.0,False
